num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2026S013376;30/01/2026;16:00:00;CALL. BERROCAL, 18;18;17;VILLAVERDE;Alcance;LLuvia intensa;Bicicleta;Conductor;De 55 a 59 años;Hombre;1;Atención en urgencias sin posterior ingreso;442464;4466552;N;
2026S013515;30/01/2026;19:40:00;AVDA. GRAN VIA DEL SURESTE / AVDA. CERRO MILANO;42A;18;VILLA DE VALLECAS;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;De 40 a 44 años;Mujer;6;Asistencia sanitaria inmediata en centro de salud o mutua;449486;4467538;N;
2026S013686;30/01/2026;22:25:00;CALL. SAN DACIO, 52;52;8;FUENCARRAL-EL PARDO;Atropello a persona;Lluvia débil;Bicicleta;Conductor;De 25 a 29 años;Mujer;1;Atención en urgencias sin posterior ingreso;441671;4481924;N;
2026S013686;30/01/2026;22:25:00;CALL. SAN DACIO, 52;52;8;FUENCARRAL-EL PARDO;Atropello a persona;Lluvia débil;Bicicleta;Peatón;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;441671;4481924;N;
2026S014170;31/01/2026;11:55:00;CALL. ARROYO FONTARRON, 483;483;14;MORATALAZ;Caída;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;446353;4471720;N;
2026S014237;31/01/2026;19:50:00;CALL. DON RAMON DE LA CRUZ, 3;3;4;SALAMANCA;Colisión lateral;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;441779;4475626;N;
2026S014405;01/02/2026;4:55:00;CALL. CONDE DUQUE, 22;22;1;CENTRO;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 50 a 54 años;Hombre;1;Atención en urgencias sin posterior ingreso;439730;4475433;N;
2026S014529;01/02/2026;10:09:00;PLAZA. INDEPENDENCIA, 1;1;4;SALAMANCA;Caída;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 55 a 59 años;Hombre;1;Atención en urgencias sin posterior ingreso;441524;4474613;N;
2026S014539;01/02/2026;16:05:00;CALL. BAILEN / CALL. VERGARA;4;1;CENTRO;Caída;Nublado;Bicicleta;Conductor;De 35 a 39 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439490;4474305;N;
2026S014558;01/02/2026;17:10:00;CALL. RIBERA DE CURTIDORES / RONDA. TOLEDO;37;1;CENTRO;Caída;Lluvia débil;Bicicleta;Conductor;De 30 a 34 años;Hombre;2;Ingreso inferior o igual a 24 horas;439993;4473073;S;
2026S014563;01/02/2026;19:30:00;CALL. SAN JAIME / GTA. VALDEPERDICES;24;18;VILLA DE VALLECAS;Colisión fronto-lateral;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 21 a 24 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;446485;4469757;N;
2026S014665;02/02/2026;10:07:00;PASEO. LA HABANA / AVDA. ALFONSO XIII;174;5;CHAMARTÍN;Caída;LLuvia intensa;Bicicleta EPAC (pedaleo asistido);Conductor;De 40 a 44 años;Hombre;2;Ingreso inferior o igual a 24 horas;442290;4479051;N;
2026S014714;29/01/2026;13:39:00;PLAZA. CRONOS / CALL. CRONOS;5;20;SAN BLAS-CANILLEJAS;Caída;LLuvia intensa;Bicicleta EPAC (pedaleo asistido);Conductor;De 35 a 39 años;Hombre;2;Ingreso inferior o igual a 24 horas;447533;4476764;N;
2026S015232;03/02/2026;13:15:00;CALL. ARROYO FONTARRON, 81;81;14;MORATALAZ;Alcance;Nublado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;444981;4472457;N;
2026S015256;03/02/2026;13:50:00;CALL. EMBAJADORES, 185;185;2;ARGANZUELA;Caída;Lluvia débil;Bicicleta;Conductor;De 21 a 24 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;441288;4471208;N;
2026S015260;03/02/2026;14:03:00;CALL. CARRANZA, 1;1;1;CENTRO;Caída;Lluvia débil;Bicicleta;Conductor;De 50 a 54 años;Hombre;1;Atención en urgencias sin posterior ingreso;440384;4475614;N;
2026S015467;03/02/2026;19:30:00;PLAZA. ELIPTICA / CALL. VIA LUSITANA;2;12;USERA;Colisión lateral;Lluvia débil;Bicicleta;Conductor;De 55 a 59 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439050;4470743;N;
2026S015580;03/02/2026;23:30:00;CALL. EUSEBIO BLASCO / PASEO. QUINCE DE MAYO;1;11;CARABANCHEL;Colisión fronto-lateral;LLuvia intensa;Bicicleta;Conductor;De 30 a 34 años;Hombre;3;Ingreso superior a 24 horas;439127;4472120;N;
2026S015712;04/02/2026;10:04:00;CALL. SOR ANGELA DE LA CRUZ, 37;37;6;TETUÁN;Caída;Nublado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440855;4479078;N;
2026S015868;04/02/2026;19:45:00;PASEO. LA HABANA, 50;50;5;CHAMARTÍN;Colisión múltiple;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;14;Sin asistencia sanitaria;441738;4477994;N;
2026S015970;04/02/2026;21:10:00;CALL. SAN LAMBERTO, 15;15;15;CIUDAD LINEAL;Alcance;;Bicicleta;Conductor;De 45 a 49 años;Hombre;;;444723;4474647;N;
2026S016280;05/02/2026;13:13:00;CALL. JOAQUIN COSTA, 61;61;5;CHAMARTÍN;Colisión múltiple;Nublado;Bicicleta;Conductor;De 25 a 29 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;442236;4476935;N;
2026S016372;05/02/2026;19:10:00;CALL. LUIS VELEZ DE GUEVARA / CALL. MAGDALENA;20;1;CENTRO;Caída;Lluvia débil;Bicicleta;Conductor;De 30 a 34 años;Mujer;6;Asistencia sanitaria inmediata en centro de salud o mutua;440394;4473776;N;
2026S016911;06/02/2026;22:00:00;PLAZA. VILAFLOR / CALL. JOSE ARCONES GIL;2;15;CIUDAD LINEAL;Colisión lateral;Despejado;Bicicleta;Conductor;De 60 a 64 años;Hombre;;;445974;4476006;N;
